2	326	A.5 命令セットにおける命令操作
2	327	A.6 制御のための命令
2	329	A.7 命令セットのエンコード
2	331	A.8 他の章との関連：コンパイラの役割
2	335	A.9 総合的な実例：RISC-Vアーキテクチャ
2	340	A.10 誤った考えと落とし穴
2	342	A.11 おわりに
2	342	A.12 歴史展望と参考文献
2	342	A.13 演習問題

1	347	付録B メモリ階層の復習
2	347	B.1 はじめに
2	354	B.2 キャッシュの性能
2	358	B.3 6つの基本的なキャッシュ改良法
2	367	B.4 仮想メモリ
2	371	B.5 仮想メモリの保護とその例
2	376	B.6 誤った考えと落とし穴
2	377	B.7 おわりに
2	377	B.8 歴史展望と参考文献
2	377	B.9 演習問題

1	381	付録C パイプライン処理：基本および中間的な概念
2	381	C.1 はじめに
2	385	C.2 パイプライン処理の主要な障害：パイプラインハザード
2	393	C.3 パイプラインの実装法
2	399	C.4 何がパイプラインの実装を困難にするのか
2	403	C.5 複数サイクル演算を扱うためのRISC-V整数パイプライン拡張
2	409	C.6 総合的な実例：MIPS R4000パイプライン
2	413	C.7 他の章との関連
2	416	C.8 誤った考えと落とし穴
2	416	C.9 おわりに
2	416	C.10 歴史展望と参考文献
2	417	C.11 演習問題
